zeta: 0.01, death_threshold: 0.66, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.67, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.68, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.69, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.70, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.71, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.72, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.73, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.74, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.75, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.76, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.77, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.78, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.79, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.80, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.81, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.82, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.83, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.84, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.85, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.86, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.87, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.01, death_threshold: 0.88, SVP size: 3.99, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
